name,gender,birth_date,country,discipline
DALEY Thomas,Male,1994-05-21,Great Britain,Diving
DALGATOVA Saadat,Female,1988-10-30,ROC,Boxing
DALHAUSSER Philip,Male,1980-01-26,United States of America,Beach Volleyball
DALLAVALLE Andrea,Male,1999-10-31,Italy,Athletics
DALLMAN-WEISS Lara,Female,1989-01-30,United States of America,Sailing
D'ALMEIDA Marcus,Male,1998-01-30,Brazil,Archery
DALY Nicola,Female,1988-04-03,Ireland,Hockey
DALY Rachel,Female,1991-12-06,Great Britain,Football
D'AMATO Alice,Female,2003-02-07,Italy,Artistic Gymnastics
D'AMATO Asia,Female,2003-02-07,Italy,Artistic Gymnastics
D'AMOUR Nicholas,Male,2001-09-04,"Virgin Islands, US",Archery
DANANI Santiago,Male,1995-12-12,Argentina,Volleyball
DANCETTE Blandine,Female,1988-02-14,France,Handball
DANESI Anna,Female,1996-04-20,Italy,Volleyball
DANIEL Benjamin,Male,2000-11-18,South Africa,Sailing
DANIEL Rahel,Female,2001-11-16,Eritrea,Athletics
DANIEL Taro,Male,1993-01-27,Japan,Tennis
DANIELL Marcus,Male,1989-11-09,New Zealand,Tennis
DANIELS Cathal,Male,1996-09-13,Ireland,Equestrian
DANIELS Haley,Female,1990-12-14,Canada,Canoe Slalom
DANIELS Teahna,Female,1997-03-25,United States of America,Athletics
DANILENKO Dmitriy,Male,1995-05-29,ROC,Fencing
DANILOVA Iana,Female,1996-05-07,ROC,Rugby Sevens
DANO Nina,Female,2000-06-12,Sweden,Handball
DANSOU Marc Pascal Pierre,Male,1983-11-03,Benin,Swimming
DANTE Djenebou,Female,1989-08-07,Mali,Athletics
DANYLENKO Danylo,Male,1994-10-10,Ukraine,Athletics
DAO Youssouf,Male,1998-03-05,Côte d'Ivoire,Football
DARCHINYAN Arman,Male,1994-04-30,Armenia,Boxing
DARDIS Billy,Male,1995-01-31,Ireland,Rugby Sevens
DARIES Naveen,Female,2001-10-29,South Africa,Artistic Gymnastics
DARJ Max,Male,1991-09-27,Sweden,Handball
DARLEUX Cleopatre,Female,1989-07-01,France,Handball
DARMANIN Lisa,Female,1991-08-27,Australia,Sailing
DARQUEA Daniela,Female,1995-06-26,Ecuador,Golf
DARSIGNY Tali,Female,1998-03-08,Canada,Weightlifting
DARWISH Ramadan,Male,1988-01-29,Egypt,Judo
DAS Atanu,Male,1992-04-05,India,Archery
DASCALU Vlad,Male,1997-12-17,Romania,Cycling Mountain Bike
DASHDAVAA Amartuvshin,Male,1987-12-15,Mongolia,Judo
DASHTI Lara,Female,2004-01-24,Kuwait,Swimming
DATUNASHVILI Zurabi,Male,1991-06-18,Serbia,Wrestling
DAUBE Hannes,Male,2000-01-05,United States of America,Water Polo
DAUDET Joris,Male,1991-02-12,France,Cycling BMX Racing
DAUMONT Paul,Male,1999-09-01,Burkina Faso,Cycling Road
DAUSER Lukas,Male,1993-06-15,Germany,Artistic Gymnastics
DAVARPANAH Saeid,Male,1987-09-07,Islamic Republic of Iran,Basketball
DAVEUA Raijieli,Female,1992-05-30,Fiji,Rugby Sevens

DAVID Areneo,Male,1995-06-06,Malawi,Archery
DAVID Cergia,Female,1990-09-17,Honduras,Judo
DAVID Yanis Esmeralda,Female,1997-12-12,France,Athletics
DAVIDOVICH FOKINA Alejandro,Male,1999-06-05,Spain,Tennis
DAVIDS Angelo,Male,1999-06-01,South Africa,Rugby Sevens
DAVIDS Selvyn,Male,1994-03-26,South Africa,Rugby Sevens
DAVIDS Zain,Male,1997-05-04,South Africa,Rugby Sevens
DAVIDSON Madaline,Female,1999-01-08,New Zealand,Trampoline Gymnastics
DAVIDSON Tierna,Female,1998-09-19,United States of America,Football
DAVIES Frances,Female,1996-10-18,New Zealand,Hockey
DAVIES Rose,Female,1999-12-21,Australia,Athletics
DAVIES Sarah,Female,1992-08-19,Great Britain,Weightlifting
DAVIS Alex,Male,1992-10-03,Great Britain,Rugby Sevens
DAVIS Keyshawn,Male,1999-02-28,United States of America,Boxing
DAVIS Leo,Male,1992-03-11,South Africa,Sailing
DAVIS Stephanie,Female,1990-08-26,Great Britain,Athletics
DAVIS Tara,Female,1999-05-20,United States of America,Athletics
DAVISON Benjamin,Male,1996-07-24,United States of America,Rowing
DAVISON Charley-Sian,Female,1993-11-24,Great Britain,Boxing
DAVOUDI Ali,Male,1999-03-22,Islamic Republic of Iran,Weightlifting
DAVTYAN Artur,Male,1992-08-08,Armenia,Artistic Gymnastics
DAVYDOVA Daria,Female,1991-03-21,ROC,Judo
DAWSON Angus,Male,2000-10-30,Australia,Rowing
DAWSON Erica,Female,1994-07-24,New Zealand,Sailing
DAWSON Jacob,Male,1993-11-02,Great Britain,Rowing
DAWSON Kathleen,Female,1997-10-03,Great Britain,Swimming
DAWSON Matthew,Male,1994-04-27,Australia,Hockey
DAY Noelani Malia,Female,2003-04-24,Tonga,Swimming
DAY Riley,Female,2000-03-30,Australia,Athletics
DAYAN Ofir,Female,2000-03-12,Israel,Rhythmic Gymnastics
DAYIBEKOVA Zaynab,Female,2002-11-19,Uzbekistan,Fencing
de ARAUJO Tamires,Female,1994-05-16,Brazil,Handball
de ARRUDA Renata,Female,1999-02-18,Brazil,Handball
de BEVER ELLIOT McKenna,Female,1996-06-05,Peru,Swimming
de BOD Stefan,Male,1996-11-17,South Africa,Cycling Road
de BOER Thom,Male,1991-12-24,Netherlands,Swimming
de BROUWER Bregje,Female,1999-03-09,Netherlands,Artistic Swimming
de BROUWER Noortje,Female,1999-03-09,Netherlands,Artistic Swimming
de CECCO Luciano,Male,1988-06-02,Argentina,Volleyball
de COLO Nando,Male,1987-06-23,France,Basketball
de COSTER Gabriel,Male,2000-10-25,Belgium,Canoe Slalom
de DEUS Felisberto,Male,1999-06-07,Timor-Leste,Athletics
de DEUS Leonardo,Male,1991-01-18,Brazil,Swimming
de FILIPPIS Mauro,Male,1980-08-10,Italy,Shooting
de FREITAS Mya,Female,2005-09-16,St Vincent and the Grenadines,Swimming
de GENNARO Giovanni,Male,1992-07-21,Italy,Canoe Slalom
de GENNARO Monica,Female,1987-01-08,Italy,Volleyball
de GEUS Jonas,Male,1998-04-29,Netherlands,Hockey
de GEUS Lilian,Female,1991-10-13,Netherlands,Sailing
de GOEDE Eva Roma Maria,Female,1989-03-23,Netherlands,Hockey
de GRAAF Sander,Male,1995-06-13,Netherlands,Rowing
de GRASSE Andre,Male,1994-11-10,Canada,Athletics
de HAITRE Vincent,Male,1994-06-16,Canada,Cycling Track
de JESUS dos SANTOS Melanie,Female,2000-03-05,France,Artistic Gymnastics
de JONG Roos,Female,1993-08-23,Netherlands,Rowing
de JONGE Mark,Male,1984-02-15,Canada,Canoe Sprint
de KERPEL Nicolas,Male,1993-03-23,Belgium,Hockey
de KETELE Kenny,Male,1985-06-05,Belgium,Cycling Track
de la CRUZ BAEZ Alexy Miguel,Male,1995-12-11,Dominican Republic,Boxing
de la CRUZ CAPANI Jovana,Female,1992-07-12,Peru,Athletics
de la CRUZ de PENA Bethania,Female,1987-05-13,Dominican Republic,Volleyball
de la CRUZ Eglys Yahima,Female,1980-04-12,Cuba,Shooting
DE LA FUENTE Hernan,Male,1997-01-07,Argentina,Football
DE LA VEGA Pedro,Male,2001-02-07,Argentina,Football
de LANGE Tristan,Male,1997-06-15,Namibia,Cycling Road
de LIEDEKERKE-MEIER Lara,Female,1988-02-06,Belgium,Equestrian
de LIMA Jucilene Sales,Female,1990-09-14,Brazil,Athletics
de LOOF Catie,Female,1997-02-12,United States of America,Swimming
de los SANTOS NUNEZ Leonel,Male,1994-12-14,Dominican Republic,Boxing
de LUCA Marco,Male,1981-05-12,Italy,Athletics
de MARTE Jonathan,Male,1993-04-29,Israel,Baseball/Softball
de MOL Joep Paul Eric,Male,1995-12-10,Netherlands,Hockey
de MORAIS Andressa,Female,1990-12-21,Brazil,Athletics
de NICOLO Marco,Male,1976-09-30,Italy,Shooting
de NUTTE Sarah,Female,1992-11-21,Luxembourg,Table Tennis
de OLIVEIRA SAAD GATTAZ Caroline,Female,1981-07-27,Brazil,Volleyball
de OLIVEIRA Wanderson,Male,1997-03-26,Brazil,Boxing
de PAULA Bruna,Female,1996-09-26,Brazil,Handball
de PAULA PESSOA Rodrigo,Male,1972-11-29,Brazil,Equestrian
de ROEY Manon,Female,1991-12-12,Belgium,Golf
DE SA Mateus,Male,1995-11-21,Brazil,Athletics
de SLOOVER Arthur Anne-Marie Thierr,Male,1997-05-03,Belgium,Hockey
de SMEDT Jarno,Male,2000-01-04,Belgium,Archery
de SOUZA FERREIRA Alessandro,Male,1992-03-23,Peru,Shooting
De SOUZA Mauricio Luiz,Male,1988-09-29,Brazil,Volleyball
De SOUZA Wallace,Male,1987-06-26,Brazil,Volleyball
de TORO DOMINGUEZ Miguel,Male,1993-08-16,Spain,Water Polo
de TULLIO Marco,Male,2000-09-21,Italy,Swimming
de VELASCO Ines,Female,2002-03-14,Spain,Archery
de VRIES Monique,Female,1995-05-03,Australia,Sailing
de VYLDER Lindsay,Male,1995-05-30,Belgium,Cycling Track
de WAARD Maaike,Female,1996-10-11,Netherlands,Swimming
de WAARD Xan Gerdien,Female,1995-11-08,Netherlands,Hockey
de WIJN Sander Sebastiaan Robert,Male,1990-05-02,Netherlands,Hockey
de WIT Frank,Male,1996-02-13,Netherlands,Judo
de WITTE Laura,Female,1995-08-07,Netherlands,Athletics
de WITTE Lisanne,Female,1992-09-10,Netherlands,Athletics
DEACONU Ronaldo,Male,1997-05-13,Romania,Football
DEADMON Bryce,Male,1997-03-26,United States of America,Athletics
DEAN Anthony,Male,1991-04-22,Australia,Cycling BMX Racing
DEAN Clark,Male,2000-02-03,United States of America,Rowing
DEAN Tom,Male,2000-05-02,Great Britain,Swimming
DEARING Alice,Female,1997-04-23,Great Britain,Marathon Swimming
DEBESAY Mosana,Female,1993-11-25,Eritrea,Cycling Road
DEBINHA,Female,1991-10-20,Brazil,Football
DEBJANI Ismael,Male,1990-09-25,Belgium,Athletics
DEBUES-STAFFORD Gabriela,Female,1995-09-13,Canada,Athletics
DECAS Wesly,Male,1999-08-11,Honduras,Football
DECHASA Shumi,Male,1989-05-28,Bahrain,Athletics
DECK Gabriel,Male,1995-02-08,Argentina,Basketball
DECSI Tamas,Male,1982-10-15,Hungary,Fencing
DEDE Bruno,Male,1999-10-07,Japan,Athletics
DEDOVIC Nikola,Male,1992-01-25,Serbia,Water Polo
DEDU Georgiana,Female,1996-01-20,Romania,Rowing
DEELTSTRA Andrea,Female,1985-03-06,Netherlands,Athletics
DEENOI Nawamin,Male,1999-01-30,Thailand,Rowing
DEETLEFS Lisa-Marie,Female,1987-09-08,South Africa,Hockey
DEFALCO Torey,Male,1997-04-10,United States of America,Volleyball
DEFAY Johanne,Female,1993-11-19,France,Surfing
DEFAZIO ABELLA Pablo,Male,1981-05-15,Uruguay,Sailing
DEGN Malene,Female,1996-12-02,Denmark,Cycling Mountain Bike
DEIDDA Francesca,Female,1992-01-16,Italy,Artistic Swimming
DEIGNAN Elizabeth,Female,1988-12-18,Great Britain,Cycling Road
DEKHA Iryna,Female,1996-05-14,Ukraine,Weightlifting
DEKKER Anouk,Female,1986-11-15,Netherlands,Football
del BUONO Federica,Female,1994-12-12,Italy,Athletics
Del LUNGO Marco,Male,1990-03-01,Italy,Water Polo
del MESTRE Felipe,Male,1993-09-25,Argentina,Rugby Sevens
del PONTE Ajla,Female,1996-07-15,Switzerland,Athletics
del REAL Diego,Male,1994-03-06,Mexico,Athletics
del TORO CARVAJAL Maylin,Female,1994-10-22,Cuba,Judo
del VALLE QUIRARTE Martha Fernanda,Female,1988-10-03,Mexico,Equestrian
DELACOUR Perrine,Female,1994-04-05,France,Golf
DELACRUZ Jourdan Elizabeth,Female,1998-05-20,United States of America,Weightlifting
DELAERE Antonia,Female,1994-08-01,Belgium,Basketball
DELAPIERRE Quentin,Male,1992-07-17,France,Sailing
DELARZE Barnabe,Male,1994-06-30,Switzerland,Rowing
DELAS de ANDRES Miguel,Male,1984-04-13,Spain,Hockey
DELASSUS Marjorie,Female,1998-03-26,France,Canoe Slalom
DELAUNAY Eric,Male,1987-12-04,France,Shooting
DELESTRE Simon,Male,1981-06-21,France,Equestrian
DELFOUR Lucien,Male,1988-12-22,Australia,Canoe Slalom
DELGADILLO Daniel,Male,1989-09-27,Mexico,Marathon Swimming
DELGADO Angelica,Female,1990-12-14,United States of America,Judo
DELGADO Anicka,Female,2002-06-13,Ecuador,Swimming
DELIA Marcos,Male,1992-04-08,Argentina,Basketball
DELILAJ Manuela,Female,1966-05-09,Albania,Shooting
DELL'AQUILA Vito,Male,2000-11-03,Italy,Taekwondo
DELLAVEDOVA Matthew,Male,1990-09-08,Australia,Basketball
DELLIEN Hugo,Male,1993-06-16,Bolivia,Tennis
DELMOTTE Nicolas,Male,1978-08-29,France,Equestrian
DELRUE Delphine,Female,1998-11-06,France,Badminton
DEMAY Coralie,Female,1992-10-10,France,Cycling Track
DEMEY Valerie,Female,1994-01-17,Belgium,Cycling Road
DEMIDIK Karyna,Female,1999-02-10,Belarus,Athletics
DEMIR Evin,Female,2001-02-16,Turkey,Athletics
DEMIREVA Mirela,Female,1989-09-28,Bulgaria,Athletics
DEMIRHAN Evin,Female,1995-07-02,Turkey,Wrestling
DEMOLINER Marcelo,Male,1989-01-18,Brazil,Tennis
DEMSE Solomon,Male,1998-12-31,Ethiopia,Taekwondo
DENAYER Felix Veronique B.,Male,1990-01-31,Belgium,Hockey
DENDY Marquis,Male,1992-11-17,United States of America,Athletics
DENG Thomas,Male,1997-03-20,Australia,Football
DENG Weiyun,Female,1996-03-11,People's Republic of China,Shooting
DENG Yu-Cheng,Male,1999-04-25,Chinese Taipei,Archery
DENG Zewen,Female,1997-02-06,People's Republic of China,Water Polo
DENG Zhiwei,Male,1988-02-12,People's Republic of China,Wrestling
DENI .,Male,1989-07-26,Indonesia,Weightlifting
DENIZ Cansel,Female,1991-08-26,Kazakhstan,Taekwondo
DENNERLEY Joel,Male,1987-06-25,Australia,Water Polo
DENNIS Rohan,Male,1990-05-28,Australia,Cycling Road
DENNY Matthew,Male,1996-06-02,Australia,Athletics
DEPAUL Evan,Male,1996-01-17,Canada,Sailing
DERAFSHIPOUR Hamoon,Male,1992-09-22,EOR,Karate
DEREJE Roza,Female,1997-05-09,Ethiopia,Athletics
DEREK Ana,Female,1998-09-04,Croatia,Artistic Gymnastics
DERELI Emel,Female,1996-02-25,Turkey,Athletics
DERENALAGI Meli,Male,1998-11-26,Fiji,Rugby Sevens
DERIGLAZOVA Inna,Female,1990-03-10,ROC,Fencing
DERKACH Dariya,Female,1993-03-27,Italy,Athletics
DERKOSKI Filip,Male,2000-12-29,North Macedonia,Swimming
DERS Lester,Male,1989-05-07,Cuba,Modern Pentathlon
DERSHWITZ Eli,Male,1995-09-23,United States of America,Fencing
DERVISIS Georgios,Male,1994-10-30,Greece,Water Polo
DERWAEL Nina,Female,2000-03-26,Belgium,Artistic Gymnastics
DESALU Eseosa Fostine,Male,1994-02-19,Italy,Athletics
DESCAT Hugo,Male,1992-08-16,France,Handball
DESENSKY Michal,Male,1993-03-01,Czech Republic,Athletics
DESISA Lelisa,Male,1990-01-14,Ethiopia,Athletics
DESLAURIERS Mario,Male,1965-02-23,Canada,Equestrian
DESPLANCHES Jeremy,Male,1994-08-07,Switzerland,Swimming
DESPOTOVIC Jelena,Female,1994-04-30,Montenegro,Handball
DESTA Netsanet,Female,2000-10-26,Ethiopia,Athletics
DESTRIBATS Agustin Alejandro,Male,1997-10-30,Argentina,Wrestling
DESWAL Yashaswini Singh,Female,1997-03-30,India,Shooting
DETRY Thomas,Male,1993-01-13,Belgium,Golf
DETTI Gabriele,Male,1994-08-29,Italy,Swimming
DEURLOO Bart,Male,1991-02-23,Netherlands,Artistic Gymnastics
DEUSSER Daniel,Male,1981-08-13,Germany,Equestrian
DEVAUX LOVELL Stephanie,Female,1995-09-08,Saint Lucia,Sailing
DEVI Sharmila,Female,2001-10-10,India,Hockey
DEVLIN Cameron,Male,1998-06-07,Australia,Football
DEVOS Pieter,Male,1986-02-08,Belgium,Equestrian
DHERS Daniel,Male,1985-03-25,Venezuela,Cycling BMX Freestyle
DHESI Amarveer,Male,1995-09-02,Canada,Wrestling
D'HOORE Jolien,Female,1990-03-14,Belgium,Cycling Track
di CAMILLO Costanza,Female,1995-01-23,Italy,Artistic Swimming
di COLA Stefano,Male,1998-12-11,Italy,Swimming
di COSTANZO Marco,Male,1992-06-09,Italy,Rowing
Di FULVIO Francesco,Male,1993-08-15,Italy,Water Polo
di LAZZARO Elisa Maria,Female,1998-06-05,Italy,Athletics
di LIDDO Elena,Female,1993-09-08,Italy,Swimming
di MAURO Gennaro Alberto,Male,2001-11-08,Italy,Rowing
DIAGO MESA Sahily,Female,1995-08-26,Cuba,Athletics
DIALLO Amad,Male,2002-07-11,Côte d'Ivoire,Football
DIALLO Ismael,Male,1997-01-29,Côte d'Ivoire,Football
DIALLO Lucas,Male,1996-07-13,Burkina Faso,Judo
DIALLO Rouguy,Female,1995-02-05,France,Athletics
DIALLO Thierno,Male,2000-11-22,Spain,Artistic Gymnastics
DIAME Fatima,Female,1996-09-22,Spain,Athletics
DIAMOND Emily,Female,1991-06-11,Great Britain,Athletics
DIATTA Adama,Male,1988-08-14,Senegal,Wrestling
DIAW Ibrahima,Male,1992-07-09,Senegal,Table Tennis
DIAZ Adriana,Female,2000-10-31,Puerto Rico,Table Tennis
DIAZ Andy,Male,1995-12-25,Cuba,Athletics
DIAZ FERNANDEZ Antonio Jose,Male,1980-06-12,Venezuela,Karate
DIAZ Hidilyn,Female,1991-02-20,Philippines,Weightlifting
DIAZ Jose,Male,1984-02-27,Dominican Republic,Baseball/Softball
DIAZ Melanie,Female,1996-06-07,Puerto Rico,Table Tennis
DIAZ RIVAS Virginia,Female,1991-08-15,Spain,Rowing
DIAZ Valentina,Female,2001-03-30,Chile,Football
DIBABA Birhane,Female,1993-09-11,Ethiopia,Athletics
DIBOWSKI Andreas,Male,1966-03-29,Germany,Equestrian
DICKINS Stephanie,Female,1995-01-09,New Zealand,Hockey
DICKO Romane,Female,1999-09-30,France,Judo
DICKSON Brandon,Male,1984-11-03,United States of America,Baseball/Softball
DICKSON Robert,Male,1998-03-06,Ireland,Sailing
DIDAL Margielyn,Female,1999-04-19,Philippines,Skateboarding
DIDERIKSEN Amalie,Female,1996-05-24,Denmark,Cycling Track
DIEGO CARLOS,Male,1993-03-15,Brazil,Football
DIEHM Natalya,Female,1997-09-23,Australia,Cycling BMX Freestyle
DIEKMANN Maike,Female,1994-07-19,Namibia,Rowing
DIENER Christian,Male,1993-06-03,Germany,Swimming
DIETHELM GERBER Heidi,Female,1969-03-20,Switzerland,Shooting
DIETSCHE Riccarda,Female,1996-04-30,Switzerland,Athletics
DIETZE Tina,Female,1988-01-25,Germany,Canoe Sprint
DIGGINS Skylar,Female,1990-08-02,United States of America,Basketball
DIKEC Yusuf,Male,1973-01-01,Turkey,Shooting
DIKGALE Ranti Marvin,Male,1987-07-12,South Africa,Athletics
DIMEC Ziga,Male,1993-02-20,Slovenia,Basketball
Dina POURYOUNES LANGEROUDI,Female,1992-01-01,EOR,Taekwondo
DINCOFF Rachel,Female,1993-12-24,United States of America,Athletics
DING Xia,Female,1990-01-13,People's Republic of China,Volleyball
DING Xuan,Female,1989-02-11,People's Republic of China,Football
DINGILIUS WALLACE Shawn,Male,1994-07-26,Palau,Swimming
DINGLEY Oliver,Male,1992-11-24,Ireland,Diving
DINH Phuong Thanh,Male,1995-09-03,Vietnam,Artistic Gymnastics
DINH Thi Hao,Female,1997-11-15,Vietnam,Rowing
DINIZ Luciana,Female,1970-10-11,Portugal,Equestrian
DINIZ Yohann,Male,1978-01-01,France,Athletics
DIONGUE Ndeye Binta,Female,1988-05-02,Senegal,Fencing
DIOSDADO Nuria,Female,1990-08-22,Mexico,Artistic Swimming
DIRKS Samantha,Female,1992-12-18,Belize,Athletics
DISERA Peter,Male,1995-02-21,Canada,Cycling Mountain Bike
DITTMANN Joanna,Female,1992-02-09,Poland,Rowing
DIVARI Aikaterini,Female,2000-03-08,Greece,Sailing
DIVER Sinead,Female,1977-02-17,Australia,Athletics
DIXON Adam Graham,Male,1986-09-11,Great Britain,Hockey
DIYAS Zarina,Female,1993-10-18,Kazakhstan,Tennis
DIZOTTI Beatriz Pimentel,Female,2000-04-13,Brazil,Swimming
DJAKOVIC Antonio,Male,2002-10-08,Switzerland,Swimming
DJEKANOVIC Tatjana,Female,1997-02-25,Bosnia and Herzegovina,Shooting
DJOKOVIC Novak,Male,1987-05-22,Serbia,Tennis
DJOUHAN Lolassonn,Male,1991-05-18,France,Athletics
DJURAEV Akbar,Male,1999-10-08,Uzbekistan,Weightlifting
DLAMINI Nicholas,Male,1995-08-12,South Africa,Cycling Road
DLAMINI Simanga,Male,1997-10-08,Eswatini,Swimming
DLAMINI Thabiso,Male,1993-05-27,Eswatini,Boxing
DLUNGWANA Tyson,Male,1997-02-18,South Africa,Hockey
DMITRIEV Denis,Male,1986-03-23,ROC,Cycling Track
DMITRIEVA Daria,Female,1995-08-09,ROC,Handball
DO NASCIMENTO Alexandra,Female,1981-09-16,Brazil,Handball
DO NASCIMENTO Daniel,Male,1998-07-28,Brazil,Athletics
DO NASCIMENTO Rodrigo,Male,1994-09-26,Brazil,Athletics
DO THI ANH Nguyet,Female,2001-01-15,Vietnam,Archery
DOAN Ritsu,Male,1998-06-16,Japan,Football
DOAR Katie,Female,2001-09-11,New Zealand,Hockey
DOBBER Jochem,Male,1997-07-08,Netherlands,Athletics
DOBBIN Beth,Female,1994-06-07,Great Britain,Athletics
DOBEK Patryk,Male,1994-02-13,Poland,Athletics
DOBRE Alexandru,Male,1998-08-30,Romania,Football
DOBSON Charlotte,Female,1986-06-05,Great Britain,Sailing
DOCKIER Sebastien,Male,1989-12-28,Belgium,Hockey
DODEAN Daniela,Female,1988-01-13,Romania,Table Tennis
DODIG Ivan,Male,1985-01-02,Croatia,Tennis
DOERNBACH Maximilian,Male,1995-12-24,Germany,Cycling Track
DOGUE Patrick,Male,1992-03-09,Germany,Modern Pentathlon
DOHMANN Carl,Male,1990-05-18,Germany,Athletics
DOHMEN John-John Dominique M,Male,1988-01-24,Belgium,Hockey
DOI Manami,Female,1993-08-29,Japan,Sailing
DOI Misaki,Female,1991-04-29,Japan,Tennis
DOI Remi Anri,Male,1989-09-28,Japan,Handball
DOIG CALDERON Maria Luisa,Female,1991-08-13,Peru,Fencing
DOLCE Vincenzo,Male,1995-05-11,Italy,Water Polo
DOLGOPYAT Artem,Male,1997-06-16,Israel,Artistic Gymnastics
DOLGOVA Anastasiia,Female,2000-02-14,ROC,Canoe Sprint
DOLGOVA Irina,Female,1995-09-26,ROC,Judo
DOLS Keanan,Male,1998-07-24,Jamaica,Swimming
DOLSON Stefanie,Female,1992-01-08,United States of America,3x3 Basketball
DOMBAXI Wuta,Female,1986-04-05,Angola,Handball
DOMINGUEZ MARTINEZ Camil Inmaculada,Female,1991-12-07,Dominican Republic,Volleyball
DOMINGUEZ RAMOS Josue,Male,1996-11-20,Dominican Republic,Swimming
DOMINGUEZ Silvia,Female,1987-01-31,Spain,Basketball
DOMOVIC BULUT Dusan,Male,1985-10-23,Serbia,3x3 Basketball
DONCIC Luka,Male,1999-02-28,Slovenia,Basketball
DONG Chao,Male,1988-02-05,People's Republic of China,Fencing
DONG Dong,Male,1989-04-13,People's Republic of China,Trampoline Gymnastics
DONG Guojian,Male,1987-03-16,People's Republic of China,Athletics
DONG Jie,Female,1998-10-31,People's Republic of China,Swimming
DONGMO Auriol,Female,1990-08-03,Portugal,Athletics
DONOGHUE Brooke,Female,1995-01-06,New Zealand,Rowing
DONU Sesenieli,Female,1996-03-03,Fiji,Rugby Sevens
DOO Hoi Kem,Female,1996-11-27,"Hong Kong, China",Table Tennis
DOOM Alexander,Male,1997-04-25,Belgium,Athletics
DOONAN Gia,Female,1994-06-30,United States of America,Rowing
DOPAZO Martin,Male,1969-03-13,Argentina,Equestrian
DORIA VILARRUBLA Monica,Female,1999-12-04,Andorra,Canoe Slalom
DORJSUREN Sumiya,Female,1991-03-11,Mongolia,Judo
dos SANTOS Alison,Male,2000-06-03,Brazil,Athletics
dos SANTOS Almir,Male,1993-09-04,Brazil,Athletics
dos SANTOS Ane Marcelle,Female,1994-01-12,Brazil,Archery
dos SANTOS Felipe,Male,1994-07-30,Brazil,Athletics
dos SANTOS Ricardo,Male,1994-12-18,Portugal,Athletics
dos SANTOS SILVA Leila,Female,1996-10-23,Brazil,Rugby Sevens
DOSHO Sara,Female,1994-10-17,Japan,Wrestling
DOSSO Zaynab,Female,1999-09-12,Italy,Athletics
DOSSOU YOVO Celtus,Male,1986-04-01,Benin,Judo
DOSTAL Josef,Male,1993-03-03,Czech Republic,Canoe Sprint
DOUEIHY Gabriella,Female,1999-04-30,LBN,Swimming
DOUGLAS Justin,Male,1994-04-05,Canada,Rugby Sevens
DOUGLAS Katherine,Female,1989-08-03,Great Britain,Rowing
DOUGLAS LUIZ,Male,1998-05-09,Brazil,Football
DOUGLAS Sarah,Female,1994-01-21,Canada,Sailing
DOUGLASS Kate,Female,2001-11-17,United States of America,Swimming
DOUGOUD Martin,Male,1991-05-19,Switzerland,Canoe Slalom
DOUKOURE Ismael,Male,2003-07-24,France,Football
DOUMBIA Aboubacar,Male,1999-11-12,Côte d'Ivoire,Football
DOUMBIA Idrissa,Male,1998-04-14,Côte d'Ivoire,Football
DOUVALIDIS Konstantinos,Male,1987-03-10,Greece,Athletics
DOVGALYUK Mikhail,Male,1995-06-03,ROC,Swimming
DOWELL Justin,Male,2000-01-05,United States of America,Cycling BMX Freestyle
DOWNEY Mark,Male,1996-07-03,Ireland,Cycling Track
DOWN-JENKINS Anton,Male,1999-09-06,New Zealand,Diving
DOWNS Tyler,Male,2003-07-19,United States of America,Diving
DOYLE Carina,Female,1993-11-06,New Zealand,Swimming
DOYLE Lauren,Female,1991-02-23,United States of America,Rugby Sevens
DOYLE Philip,Male,1992-09-17,Ireland,Rowing
DRABIK Sandra,Female,1988-08-13,Poland,Boxing
DRAGIC Zoran,Male,1989-06-22,Slovenia,Basketball
DRAGULESCU Marian,Male,1980-12-18,Romania,Artistic Gymnastics
DRAKOU Theodora,Female,1992-02-06,Greece,Swimming
DRAPER Jacob Benjamin,Male,1998-07-24,Great Britain,Hockey
DRESSEL Caeleb,Male,1996-08-16,United States of America,Swimming
DREWS Andrea,Female,1993-12-25,United States of America,Volleyball
DRINKHALL Paul,Male,1990-01-16,Great Britain,Table Tennis
DRONOVA Tamara,Female,1993-08-13,ROC,Cycling Road
DROUIN Caroline,Female,1996-07-07,France,Rugby Sevens
DROZDOVSKAYA Tatiana,Female,1978-12-06,Belarus,Sailing
DRUENNE Theo,Male,2005-07-19,Monaco,Swimming
DRUMMOND Gerald,Male,1994-09-05,Costa Rica,Athletics
DRUMMOND Timothy,Male,1988-03-05,South Africa,Hockey
DRUNCEA Daniela,Female,1990-11-02,Romania,Rowing
DRUX Paul,Male,1995-02-07,Germany,Handball
DRUZHININ Ilia,Male,1998-04-23,ROC,Swimming
DRY Chris,Male,1988-02-13,South Africa,Rugby Sevens
DRYSDALE DALEY Ebony,Female,1995-01-21,Jamaica,Judo
DRZYZGA Fabian,Male,1990-01-03,Poland,Volleyball
du PLESSIS Lilian Joy,Female,1992-12-17,South Africa,Hockey
du PREEZ Branco,Male,1990-05-08,South Africa,Rugby Sevens
du PREEZ Charlene,Female,1987-12-04,South Africa,Cycling Track
du PREEZ Ethan,Male,2003-06-09,South Africa,Swimming
du TOIT Dominique,Female,1997-05-19,Australia,Rugby Sevens
DU Yue,Female,1998-02-15,People's Republic of China,Badminton
