name,gender,birth_date,country,discipline
ADAMEK Klaudia,Female,1999-03-22,Poland,Athletics
ADAMKIEWICZ Patrycja,Female,1998-06-11,Poland,Taekwondo
ADAMS Liam,Male,1986-09-04,Australia,Athletics
ADAMS Paul,Male,1992-06-04,Australia,Shooting
ADAMS Taeyanna,Female,2002-03-14,Federated States of Micronesia,Swimming
ADAMS Valerie,Female,1984-10-06,New Zealand,Athletics
ADAMUS Bartlomiej Stefan,Male,2000-05-12,Poland,Weightlifting
ADAR Yasemin,Female,1991-12-06,Turkey,Wrestling
ADEBAYO Bam,Male,1997-07-18,United States of America,Basketball
ADEGOKE Enoch,Male,2000-03-08,Nigeria,Athletics
ADEKUOROYE Odunayo Folasade,Female,1993-12-10,Nigeria,Wrestling
ADEL Ibrahim,Male,2001-04-23,Egypt,Football
ADENIYI Aminat Oluwafunmilayo,Female,1993-04-21,Nigeria,Wrestling
ADESOKAN Dorcas Ajoke,Female,1998-07-05,Nigeria,Badminton
ADILKHANOVA Alina,Female,2001-09-26,Kazakhstan,Rhythmic Gymnastics
ADLERTEG Jonna,Female,1995-06-06,Sweden,Artistic Gymnastics
ADLINGTON Sarah,Female,1986-08-05,Great Britain,Judo
ADO Pauline,Female,1991-02-14,France,Surfing
ADOLF Balazs,Male,1999-09-05,Hungary,Canoe Sprint
ADOMAVICIUS Aurimas,Male,1993-09-23,Lithuania,Rowing
AEDO Yanara,Female,1993-08-05,Chile,Football
AERNOUDTS Violaine,Female,1999-10-23,France,Rowing
AFANADOR Brian,Male,1997-03-06,Puerto Rico,Table Tennis
AFONSO Paixao,Male,1991-01-02,Angola,Sailing
AFONSO Salome,Female,1997-11-19,Portugal,Athletics
AFOUMBA Gilles Anthony,Male,1996-06-14,Congo,Athletics
AFREMOVA Natalia,Female,1998-11-14,ROC,Cycling BMX Racing
AFRIAT Charlotte,Female,2002-10-17,Monaco,Athletics
AGADA Caleb,Male,1994-08-31,Nigeria,Basketball
AGAHOZO Alphonsine,Female,1997-10-18,Rwanda,Swimming
AGARD Terrence,Male,1990-04-16,Netherlands,Athletics
AGARIE Yuto,Male,1993-07-06,Japan,Handball
AGATSUMA Haruka,Female,1994-12-18,Japan,Baseball/Softball
AGBEGNENOU Clarisse,Female,1992-10-25,France,Judo
AGERO Eden,Male,1990-09-17,Kenya,Rugby Sevens
AGGEFORS Mikael,Male,1985-01-20,Sweden,Handball
AGHAEIHAJIAGHA Soraya,Female,1996-01-28,Islamic Republic of Iran,Badminton
AGHAMIROVA Zohra,Female,2001-08-08,Azerbaijan,Rhythmic Gymnastics
AGHAMIRZAEIJENAGHRAD Ali,Male,1993-03-04,Islamic Republic of Iran,Canoe Sprint
AGHASYAN Levon,Male,1995-01-19,Armenia,Athletics
AGHAYEV Rafael,Male,1985-03-04,Azerbaijan,Karate
AGIOMOR Ekerekeme,Male,1994-12-16,Nigeria,Wrestling
AGIURGIUCULESE Alexandra,Female,2001-01-15,Italy,Rhythmic Gymnastics
AGRALI Yavuz,Male,1992-04-09,Turkey,Athletics
AGREBI Omar,Male,1992-08-26,Tunisia,Volleyball
AGRUSTI Andrea,Male,1995-08-30,Italy,Athletics
AGUIAR Mayra,Female,1991-08-03,Brazil,Judo
AGUILAR Ali,Female,1995-08-28,United States of America,Baseball/Softball
AGUILAR Andres,Male,1996-12-07,Chile,Archery
AGUILAR Evelis Jazmin,Female,1993-01-03,Colombia,Athletics
AGUINAGALDE AQUIZU Julen,Male,1982-12-08,Spain,Handball
AGUIRRE Eduardo,Male,1998-08-03,Mexico,Football
AGUIRRE Erick,Male,1997-02-23,Mexico,Football
AGUIRRE Unai,Male,2002-07-14,Spain,Water Polo
AGUNDEZ GARCIA Gabriela,Female,2000-08-04,Mexico,Diving
AH TONG Marion Faustino,Male,2000-04-01,Samoa,Boxing
AHMAD Muhammad Isa,Male,1998-02-23,Brunei Darussalam,Swimming
AHMED Aiman,Male,2001-05-14,Saudi Arabia,Football
AHMED ALI YUSUF Abdulla Essa,Male,2002-11-20,Bahrain,Swimming
AHMED Enas,Female,1989-01-01,Egypt,Wrestling
AHMED Junayna,Female,2003-06-30,Bangladesh,Swimming
AHMED Mohamed,Male,1993-07-20,Bahrain,Handball
AHMED Mohammed,Male,1991-01-05,Canada,Athletics
AHMED Samaa,Female,1998-07-22,Egypt,Canoe Sprint
AHN Joonsoo,Male,1998-01-28,Republic of Korea,Football
AHOUANWANOU Odile,Female,1991-01-05,Benin,Athletics
AHOURE Murielle,Female,1987-08-23,Côte d'Ivoire,Athletics
AHSAN Mohammad,Male,1987-09-07,Indonesia,Badminton
AHSINGER Nicole,Female,1998-05-12,United States of America,Trampoline Gymnastics
AHYE Michelle-Lee,Female,1992-04-10,Trinidad and Tobago,Athletics
AI Yanhan,Female,2002-02-07,People's Republic of China,Swimming
AICARDI Matteo,Male,1986-04-19,Italy,Water Polo
AICOBOAE Vlad,,,Romania,
AIGNER Hannes,Male,1989-03-19,Germany,Canoe Slalom
AILINCAI Adriana,Female,1999-04-11,Romania,Rowing
AIMABLE Steven,Male,1999-02-07,Senegal,Swimming
AINAGULOV Mirambek,Male,1994-02-17,Kazakhstan,Wrestling
AIOANI Marian,Male,1999-11-07,Romania,Football
AISAH Windy Cantika,Female,2002-06-11,Indonesia,Weightlifting
AIT DAOUD Kamel,Male,1985-05-18,Algeria,Rowing
AIT OUAGRAM Zied,Male,1988-12-18,Morocco,Wrestling
AIT SAID Samir,Male,1989-11-01,France,Artistic Gymnastics
AITCHISON Holly,Female,1997-09-13,Great Britain,Rugby Sevens
AIZAWA Akira,Male,1997-07-18,Japan,Athletics
AJOMALE Bolade,Male,1995-08-31,Canada,Athletics
AKAHO Himawari,Female,1998-08-28,Japan,Basketball
AKGUL Taha,Male,1990-11-22,Turkey,Wrestling
AKGUN Omer,Male,1982-02-15,Turkey,Shooting
AKHAIMOVA Liliia,Female,1997-03-17,ROC,Artistic Gymnastics
AKHMADIEV Ildar,Male,2000-03-01,Tajikistan,Athletics
AKHMETOVA Tatyana,Female,1985-10-17,Kazakhstan,Wrestling
AKHTAR Muhammad Khalil,,,Pakistan,
AKIMENKO Mikhail,Male,1995-12-06,ROC,Athletics
AKINRADEWO Foluke,Female,1987-10-05,United States of America,Volleyball
AKINYI Elizabeth,Female,1993-09-25,Kenya,Boxing
AKKUS Mihrac,Male,2000-06-01,Turkey,Judo
AKMAL Nurul,Female,1993-02-12,Indonesia,Weightlifting
AKMATALIEV Ernazar,Male,1998-07-02,Kyrgyzstan,Wrestling
AKMENS Roberts,Male,1996-02-14,Latvia,Canoe Sprint
AKOZ Simge Sebnem,Female,1991-04-23,Turkey,Volleyball
AKTAS Ugur,Male,1995-10-10,Turkey,Karate
AL ADAWI Issa Samir Hamed,Male,1999-03-20,Oman,Swimming
AL AHRACH Ali,Male,1984-07-05,Morocco,Equestrian
AL ALAWI Mazoon,Female,1997-11-14,Oman,Athletics
AL BAWWAB Yazan,Male,1999-10-30,Palestine,Swimming
AL FAIHAN Abdulrahman,Male,1986-06-24,Kuwait,Shooting
AL HARTHI Barakat,Male,1988-06-15,Oman,Athletics
