medalType,medalDate,athleteName,countryName,disciplineName
Gold Medal,2021-07-28,TUWAI Jerry,Fiji,Rugby Sevens
Gold Medal,2021-07-28,BOTITU Vilimoni,Fiji,Rugby Sevens
Gold Medal,2021-07-28,NASOKO Kalione,Fiji,Rugby Sevens
Gold Medal,2021-07-28,BOLACA Napolioni,Fiji,Rugby Sevens
Gold Medal,2021-07-28,TUIVUAKA Asaeli,Fiji,Rugby Sevens
Gold Medal,2021-07-28,WAINIQOLO Jiuta,Fiji,Rugby Sevens
Gold Medal,2021-07-28,RADRADRA Semi,Fiji,Rugby Sevens
Gold Medal,2021-07-28,MAQALA Sireli,Fiji,Rugby Sevens
Gold Medal,2021-07-28,BALEIWAIRIKI Iosefo Masikau,Fiji,Rugby Sevens
Silver Medal,2021-07-28,WARBRICK William,New Zealand,Rugby Sevens
Silver Medal,2021-07-28,WARE Regan,New Zealand,Rugby Sevens
Silver Medal,2021-07-28,WEBBER Joe,New Zealand,Rugby Sevens
Silver Medal,2021-07-28,NG SHIU Tone,New Zealand,Rugby Sevens
Silver Medal,2021-07-28,NICOLE Amanaki,New Zealand,Rugby Sevens
Silver Medal,2021-07-28,BAKER Kurt,New Zealand,Rugby Sevens
Silver Medal,2021-07-28,COLLIER Dylan,New Zealand,Rugby Sevens
Silver Medal,2021-07-28,CURRY Scott,New Zealand,Rugby Sevens
Silver Medal,2021-07-28,KNEWSTUBB Andrew,New Zealand,Rugby Sevens
Silver Medal,2021-07-28,McGARVEY-BLACK Ngarohi,New Zealand,Rugby Sevens
Silver Medal,2021-07-28,MIKKELSON Tim,New Zealand,Rugby Sevens
Silver Medal,2021-07-28,MOLIA Sione,New Zealand,Rugby Sevens
Silver Medal,2021-07-28,NANAI-SETURO Etene,New Zealand,Rugby Sevens
Bronze Medal,2021-07-28,ALVAREZ Santiago,Argentina,Rugby Sevens
Bronze Medal,2021-07-28,BAZAN VELEZ Lautaro,Argentina,Rugby Sevens
Bronze Medal,2021-07-28,del MESTRE Felipe,Argentina,Rugby Sevens
Bronze Medal,2021-07-28,OSADCZUK Matias,Argentina,Rugby Sevens
Bronze Medal,2021-07-28,ETCHART Rodrigo,Argentina,Rugby Sevens
Bronze Medal,2021-07-28,REVOL Gaston,Argentina,Rugby Sevens
Bronze Medal,2021-07-28,GONZALEZ Luciano,Argentina,Rugby Sevens
Bronze Medal,2021-07-28,MARE Santiago,Argentina,Rugby Sevens
Bronze Medal,2021-07-28,MONETA Marcos,Argentina,Rugby Sevens
Bronze Medal,2021-07-28,CINTI Lucio,Argentina,Rugby Sevens
Bronze Medal,2021-07-28,MENDY Ignacio,Argentina,Rugby Sevens
Bronze Medal,2021-07-28,SCHULZ German,Argentina,Rugby Sevens
Bronze Medal,2021-07-28,ISGRO Rodrigo,Argentina,Rugby Sevens
Gold Medal,2021-07-28,MILAK Kristof,Hungary,Swimming
Silver Medal,2021-07-28,HONDA Tomoru,Japan,Swimming
Bronze Medal,2021-07-28,BURDISSO Federico,Italy,Swimming
Gold Medal,2021-07-28,SCOTT Duncan,Great Britain,Swimming
Gold Medal,2021-07-28,DEAN Tom,Great Britain,Swimming
Gold Medal,2021-07-28,JARVIS Calum,Great Britain,Swimming
Gold Medal,2021-07-28,GUY James,Great Britain,Swimming
Gold Medal,2021-07-28,RICHARDS Matthew,Great Britain,Swimming
Silver Medal,2021-07-28,RYLOV Evgeny,ROC,Swimming
Silver Medal,2021-07-28,VEKOVISHCHEV Mikhail,ROC,Swimming
Silver Medal,2021-07-28,GIREV Ivan,ROC,Swimming
Silver Medal,2021-07-28,DOVGALYUK Mikhail,ROC,Swimming
Silver Medal,2021-07-28,KRASNYKH Aleksandr,ROC,Swimming
Silver Medal,2021-07-28,MALYUTIN Martin,ROC,Swimming
Bronze Medal,2021-07-28,WINNINGTON Elijah,Australia,Swimming
Bronze Medal,2021-07-28,INCERTI Zac,Australia,Swimming
Bronze Medal,2021-07-28,GRAHAM Alexander,Australia,Swimming
Bronze Medal,2021-07-28,HORTON Mack,Australia,Swimming
Bronze Medal,2021-07-28,CHALMERS Kyle,Australia,Swimming
Bronze Medal,2021-07-28,NEILL Thomas,Australia,Swimming
Gold Medal,2021-07-28,LEDECKY Kathleen,United States of America,Swimming
Silver Medal,2021-07-28,SULLIVAN Erica,United States of America,Swimming
Bronze Medal,2021-07-28,KOHLER Sarah,Germany,Swimming
Gold Medal,2021-07-28,TITMUS Ariarne,Australia,Swimming
Silver Medal,2021-07-28,HAUGHEY Siobhan Bernadette,"Hong Kong, China",Swimming
Bronze Medal,2021-07-28,OLEKSIAK Penny,Canada,Swimming
Gold Medal,2021-07-28,OHASHI Yui,Japan,Swimming
Silver Medal,2021-07-28,WALSH Alex,United States of America,Swimming
Bronze Medal,2021-07-28,DOUGLASS Kate,United States of America,Swimming
Gold Medal,2021-07-28,SHI Zhiyong,People's Republic of China,Weightlifting
Silver Medal,2021-07-28,MAYORA PERNIA Julio Ruben,Venezuela,Weightlifting
Bronze Medal,2021-07-28,ABDULLAH Rahmat Erwin,Indonesia,Weightlifting
Gold Medal,2021-07-29,LEE Sunisa,United States of America,Artistic Gymnastics
Silver Medal,2021-07-29,ANDRADE Rebeca,Brazil,Artistic Gymnastics
Bronze Medal,2021-07-29,MELNIKOVA Angelina,ROC,Artistic Gymnastics
Gold Medal,2021-07-29,FOX Jessica,Australia,Canoe Slalom
Silver Medal,2021-07-29,FRANKLIN Mallory,Great Britain,Canoe Slalom
Bronze Medal,2021-07-29,HERZOG Andrea,Germany,Canoe Slalom
Gold Medal,2021-07-29,DERIGLAZOVA Inna,ROC,Fencing
Gold Medal,2021-07-29,ZAGIDULLINA Adelina,ROC,Fencing
Gold Medal,2021-07-29,KOROBEYNIKOVA Larisa,ROC,Fencing
Gold Medal,2021-07-29,MARTYANOVA Marta,ROC,Fencing
Silver Medal,2021-07-29,BLAZE Anita,France,Fencing
Silver Medal,2021-07-29,GUYART Astrid,France,Fencing
Silver Medal,2021-07-29,RANVIER Pauline,France,Fencing
Silver Medal,2021-07-29,THIBUS Ysaora,France,Fencing
Bronze Medal,2021-07-29,VOLPI Alice,Italy,Fencing
Bronze Medal,2021-07-29,ERRIGO Arianna,Italy,Fencing
Bronze Medal,2021-07-29,BATINI Martina,Italy,Fencing
Bronze Medal,2021-07-29,CIPRESSA Erica,Italy,Fencing
Gold Medal,2021-07-29,WOLF Aaron,Japan,Judo
Silver Medal,2021-07-29,CHO Guham,Republic of Korea,Judo
Bronze Medal,2021-07-29,ILIASOV Niiaz,ROC,Judo
Bronze Medal,2021-07-29,FONSECA Jorge,Portugal,Judo
Gold Medal,2021-07-29,HAMADA Shori,Japan,Judo
Silver Medal,2021-07-29,MALONGA Madeleine,France,Judo
Bronze Medal,2021-07-29,AGUIAR Mayra,Brazil,Judo
Bronze Medal,2021-07-29,WAGNER Anna-Maria,Germany,Judo
Gold Medal,2021-07-29,Mc CARTHY Fintan,Ireland,Rowing
Gold Medal,2021-07-29,O'DONOVAN Paul,Ireland,Rowing
Silver Medal,2021-07-29,ROMMELMANN Jonathan,Germany,Rowing
Silver Medal,2021-07-29,OSBORNE Jason,Germany,Rowing
Bronze Medal,2021-07-29,OPPO Stefano,Italy,Rowing
Bronze Medal,2021-07-29,RUTA Pietro,Italy,Rowing
Gold Medal,2021-07-29,CESARINI Federica,Italy,Rowing
Gold Medal,2021-07-29,RODINI Valentina,Italy,Rowing
Silver Medal,2021-07-29,BOVE Claire,France,Rowing
Silver Medal,2021-07-29,TARANTOLA Laura,France,Rowing
Bronze Medal,2021-07-29,KEIJSER Marieke,Netherlands,Rowing
Bronze Medal,2021-07-29,PAULIS Ilse,Netherlands,Rowing
Gold Medal,2021-07-29,SINKOVIC Martin,Croatia,Rowing
Gold Medal,2021-07-29,SINKOVIC Valent,Croatia,Rowing
Silver Medal,2021-07-29,COZMIUC Marius,Romania,Rowing
Silver Medal,2021-07-29,TUDOSA Ciprian,Romania,Rowing
Bronze Medal,2021-07-29,VYSTAVEL Frederic,Denmark,Rowing
Bronze Medal,2021-07-29,SUTTON Joachim,Denmark,Rowing
Gold Medal,2021-07-29,PRENDERGAST Grace,New Zealand,Rowing
Gold Medal,2021-07-29,GOWLER Kerri,New Zealand,Rowing
Silver Medal,2021-07-29,ORIABINSKAIA Elena,ROC,Rowing
Silver Medal,2021-07-29,STEPANOVA Vasilisa,ROC,Rowing
Bronze Medal,2021-07-29,JANSSENS Hillary,Canada,Rowing
Bronze Medal,2021-07-29,FILMER Caileigh,Canada,Rowing
Gold Medal,2021-07-29,LIPTAK Jiri,Czech Republic,Shooting
Silver Medal,2021-07-29,KOSTELECKY David,Czech Republic,Shooting
Bronze Medal,2021-07-29,COWARD HOLLEY Matthew John,Great Britain,Shooting
Gold Medal,2021-07-29,REHAK STEFECEKOVA Zuzana,Slovakia,Shooting
Silver Medal,2021-07-29,BROWNING Kayle,United States of America,Shooting
Bronze Medal,2021-07-29,PERILLI Alessandra,San Marino,Shooting
Gold Medal,2021-07-29,DRESSEL Caeleb,United States of America,Swimming
Silver Medal,2021-07-29,CHALMERS Kyle,Australia,Swimming
Bronze Medal,2021-07-29,KOLESNIKOV Kliment,ROC,Swimming
Gold Medal,2021-07-29,STUBBLETY-COOK Izaac,Australia,Swimming
Silver Medal,2021-07-29,KAMMINGA Arno,Netherlands,Swimming
Bronze Medal,2021-07-29,MATTSSON Matti,Finland,Swimming
Gold Medal,2021-07-29,FINKE Robert,United States of America,Swimming
Silver Medal,2021-07-29,PALTRINIERI Gregorio,Italy,Swimming
Bronze Medal,2021-07-29,ROMANCHUK Mykhailo,Ukraine,Swimming
Gold Medal,2021-07-29,ZHANG Yufei,People's Republic of China,Swimming
Silver Medal,2021-07-29,SMITH Regan,United States of America,Swimming
Bronze Medal,2021-07-29,FLICKINGER Hali,United States of America,Swimming
Gold Medal,2021-07-29,YANG Junxuan,People's Republic of China,Swimming
Gold Medal,2021-07-29,ZHANG Yufei,People's Republic of China,Swimming
Gold Medal,2021-07-29,DONG Jie,People's Republic of China,Swimming
Gold Medal,2021-07-29,ZHANG Yifan,People's Republic of China,Swimming
Gold Medal,2021-07-29,TANG Muhan,People's Republic of China,Swimming
Gold Medal,2021-07-29,LI Bingjie,People's Republic of China,Swimming
Silver Medal,2021-07-29,MADDEN Paige,United States of America,Swimming
Silver Medal,2021-07-29,Mc LAUGHLIN Kathryn,United States of America,Swimming
Silver Medal,2021-07-29,SIMS Arabella,United States of America,Swimming
Silver Medal,2021-07-29,LEDECKY Kathleen,United States of America,Swimming
Silver Medal,2021-07-29,FORDE Brooke,United States of America,Swimming
Silver Medal,2021-07-29,SCHMITT Allison,United States of America,Swimming
Bronze Medal,2021-07-29,THROSSELL Brianna,Australia,Swimming
Bronze Medal,2021-07-29,WILSON Madison,Australia,Swimming
Bronze Medal,2021-07-29,O'CALLAGHAN Mollie,Australia,Swimming
Bronze Medal,2021-07-29,COOK Tamsin,Australia,Swimming
Bronze Medal,2021-07-29,HARRIS Meg,Australia,Swimming
Bronze Medal,2021-07-29,TITMUS Ariarne,Australia,Swimming
Bronze Medal,2021-07-29,NEALE Leah,Australia,Swimming
Bronze Medal,2021-07-29,McKEON Emma,Australia,Swimming
Gold Medal,2021-07-29,CHEN Meng,People's Republic of China,Table Tennis
Silver Medal,2021-07-29,SUN Yingsha,People's Republic of China,Table Tennis
Bronze Medal,2021-07-29,ITO Mima,Japan,Table Tennis
Gold Medal,2021-07-30,AN San,Republic of Korea,Archery
Silver Medal,2021-07-30,OSIPOVA Elena,ROC,Archery
Bronze Medal,2021-07-30,BOARI Lucilla,Italy,Archery
Gold Medal,2021-07-30,BAREGA Selemon,Ethiopia,Athletics
Silver Medal,2021-07-30,CHEPTEGEI Joshua,Uganda,Athletics
Bronze Medal,2021-07-30,KIPLIMO Jacob,Uganda,Athletics
Gold Medal,2021-07-30,WANG Yi Lyu,People's Republic of China,Badminton
Gold Medal,2021-07-30,HUANG Dong Ping,People's Republic of China,Badminton
Silver Medal,2021-07-30,ZHENG Si Wei,People's Republic of China,Badminton
Silver Medal,2021-07-30,HUANG Ya Qiong,People's Republic of China,Badminton
Bronze Medal,2021-07-30,WATANABE Yuta,Japan,Badminton
Bronze Medal,2021-07-30,HIGASHINO Arisa,Japan,Badminton
Gold Medal,2021-07-30,PRSKAVEC Jiri,Czech Republic,Canoe Slalom
Silver Medal,2021-07-30,GRIGAR Jakub,Slovakia,Canoe Slalom
Bronze Medal,2021-07-30,AIGNER Hannes,Germany,Canoe Slalom
Gold Medal,2021-07-30,KIMMANN Niek,Netherlands,Cycling BMX Racing
Silver Medal,2021-07-30,WHYTE Kye,Great Britain,Cycling BMX Racing
Bronze Medal,2021-07-30,RAMIREZ YEPES Carlos Alberto,Colombia,Cycling BMX Racing
Gold Medal,2021-07-30,SHRIEVER Bethany,Great Britain,Cycling BMX Racing
Silver Medal,2021-07-30,PAJON Mariana,Colombia,Cycling BMX Racing
Bronze Medal,2021-07-30,SMULDERS Merel,Netherlands,Cycling BMX Racing
Gold Medal,2021-07-30,MINOBE Kazuyasu,Japan,Fencing
Gold Medal,2021-07-30,KANO Koki,Japan,Fencing
Gold Medal,2021-07-30,YAMADA Masaru,Japan,Fencing
Gold Medal,2021-07-30,UYAMA Satoru,Japan,Fencing
Silver Medal,2021-07-30,BIDA Sergey,ROC,Fencing
Silver Medal,2021-07-30,KHODOS Sergey,ROC,Fencing
Silver Medal,2021-07-30,SUKHOV Pavel,ROC,Fencing
Silver Medal,2021-07-30,GLAZKOV Nikita,ROC,Fencing
Bronze Medal,2021-07-30,KWEON Youngjun,Republic of Korea,Fencing
Bronze Medal,2021-07-30,PARK Sangyoung,Republic of Korea,Fencing
Bronze Medal,2021-07-30,MA Segeon,Republic of Korea,Fencing
Bronze Medal,2021-07-30,SONG Jaeho,Republic of Korea,Fencing
Gold Medal,2021-07-30,KRPALEK Lukas,Czech Republic,Judo
Silver Medal,2021-07-30,TUSHISHVILI Guram,Georgia,Judo
Bronze Medal,2021-07-30,RINER Teddy,France,Judo
Bronze Medal,2021-07-30,BASHAEV Tamerlan,ROC,Judo
Gold Medal,2021-07-30,SONE Akira,Japan,Judo
Silver Medal,2021-07-30,ORTIZ Idalys,Cuba,Judo
Bronze Medal,2021-07-30,DICKO Romane,France,Judo
Bronze Medal,2021-07-30,KINDZERSKA Iryna,Azerbaijan,Judo
Gold Medal,2021-07-30,BOND Hamish,New Zealand,Rowing
Gold Medal,2021-07-30,BOSWORTH Sam,New Zealand,Rowing
Gold Medal,2021-07-30,BRAKE Michael,New Zealand,Rowing
Gold Medal,2021-07-30,KIRKHAM Shaun,New Zealand,Rowing
Gold Medal,2021-07-30,MACDONALD Matt,New Zealand,Rowing
Gold Medal,2021-07-30,MACKINTOSH Thomas,New Zealand,Rowing
Gold Medal,2021-07-30,MURRAY Tom,New Zealand,Rowing
Gold Medal,2021-07-30,WILLIAMSON Daniel,New Zealand,Rowing
Gold Medal,2021-07-30,WILSON Phillip,New Zealand,Rowing
Silver Medal,2021-07-30,FOLLERT Laurits,Germany,Rowing
Silver Medal,2021-07-30,JAKSCHIK Malte,Germany,Rowing
Silver Medal,2021-07-30,JOHANNESEN Torben,Germany,Rowing
Silver Medal,2021-07-30,OCIK Hannes,Germany,Rowing
Silver Medal,2021-07-30,SAUER Martin,Germany,Rowing
Silver Medal,2021-07-30,SCHMIDT Richard,Germany,Rowing
Silver Medal,2021-07-30,SCHNEIDER Jakob,Germany,Rowing
Silver Medal,2021-07-30,WEISSENFELD Johannes,Germany,Rowing
Silver Medal,2021-07-30,ROGGENSACK Olaf,Germany,Rowing
Bronze Medal,2021-07-30,BUGAJSKI Josh,Great Britain,Rowing
Bronze Medal,2021-07-30,DAWSON Jacob,Great Britain,Rowing
Bronze Medal,2021-07-30,ELWES Charles,Great Britain,Rowing
Bronze Medal,2021-07-30,FIELDMAN Henry,Great Britain,Rowing
Bronze Medal,2021-07-30,FORD Tom,Great Britain,Rowing
Bronze Medal,2021-07-30,GEORGE Tom,Great Britain,Rowing
Bronze Medal,2021-07-30,RUDKIN James,Great Britain,Rowing
Bronze Medal,2021-07-30,SBIHI Mohamed,Great Britain,Rowing
Bronze Medal,2021-07-30,WYNNE-GRIFFITH Oliver,Great Britain,Rowing
Gold Medal,2021-07-30,NTOUSKOS Stefanos,Greece,Rowing
Silver Medal,2021-07-30,BORCH Kjetil,Norway,Rowing
Bronze Medal,2021-07-30,MARTIN Damir,Croatia,Rowing
Gold Medal,2021-07-30,GRAINGER Susanne,Canada,Rowing
Gold Medal,2021-07-30,GRUCHALLA-WESIERSKI Kasia,Canada,Rowing
Gold Medal,2021-07-30,KIT Kristen,Canada,Rowing
Gold Medal,2021-07-30,MAILEY Madison,Canada,Rowing
Gold Medal,2021-07-30,PAYNE Sydney,Canada,Rowing
Gold Medal,2021-07-30,PROSKE Andrea,Canada,Rowing
Gold Medal,2021-07-30,ROMAN Lisa,Canada,Rowing
Gold Medal,2021-07-30,ROPER Christine,Canada,Rowing
Gold Medal,2021-07-30,WASTENEYS Avalon,Canada,Rowing
Silver Medal,2021-07-30,DYKE Emma,New Zealand,Rowing
Silver Medal,2021-07-30,GOWLER Jackie,New Zealand,Rowing
Silver Medal,2021-07-30,GOWLER Kerri,New Zealand,Rowing
Silver Medal,2021-07-30,BEVAN Kelsey,New Zealand,Rowing
Silver Medal,2021-07-30,PRENDERGAST Grace,New Zealand,Rowing
Silver Medal,2021-07-30,ROSS Beth,New Zealand,Rowing
Silver Medal,2021-07-30,SHEPHERD Caleb,New Zealand,Rowing
Silver Medal,2021-07-30,SPOORS Lucy,New Zealand,Rowing
Silver Medal,2021-07-30,GREENSLADE Ella,New Zealand,Rowing
Bronze Medal,2021-07-30,ZHANG Min,People's Republic of China,Rowing
Bronze Medal,2021-07-30,GUO Linlin,People's Republic of China,Rowing
Bronze Medal,2021-07-30,JU Rui,People's Republic of China,Rowing
Bronze Medal,2021-07-30,LI Jingjing,People's Republic of China,Rowing
Bronze Medal,2021-07-30,MIAO Tian,People's Republic of China,Rowing
Bronze Medal,2021-07-30,WANG Yuwei,People's Republic of China,Rowing
Bronze Medal,2021-07-30,WANG Zifeng,People's Republic of China,Rowing
Bronze Medal,2021-07-30,XU Fei,People's Republic of China,Rowing
Bronze Medal,2021-07-30,ZHANG Dechang,People's Republic of China,Rowing
Gold Medal,2021-07-30,TWIGG Emma,New Zealand,Rowing
Silver Medal,2021-07-30,PRAKATSEN Hanna,ROC,Rowing
Bronze Medal,2021-07-30,LOBNIG Magdalena,Austria,Rowing
Gold Medal,2021-07-30,BATSARASHKINA Vitalina,ROC,Shooting
Silver Medal,2021-07-30,KIM Minjung,Republic of Korea,Shooting
Bronze Medal,2021-07-30,XIAO Jiaruixuan,People's Republic of China,Shooting
Gold Medal,2021-07-30,RYLOV Evgeny,ROC,Swimming
Silver Medal,2021-07-30,MURPHY Ryan,United States of America,Swimming
Bronze Medal,2021-07-30,GREENBANK Luke,Great Britain,Swimming
Gold Medal,2021-07-30,WANG Shun,People's Republic of China,Swimming
Silver Medal,2021-07-30,SCOTT Duncan,Great Britain,Swimming
Bronze Medal,2021-07-30,DESPLANCHES Jeremy,Switzerland,Swimming
Gold Medal,2021-07-30,McKEON Emma,Australia,Swimming
Silver Medal,2021-07-30,HAUGHEY Siobhan Bernadette,"Hong Kong, China",Swimming
Bronze Medal,2021-07-30,CAMPBELL Cate,Australia,Swimming
Gold Medal,2021-07-30,SCHOENMAKER Tatjana,South Africa,Swimming
Silver Medal,2021-07-30,KING Lilly,United States of America,Swimming
Bronze Medal,2021-07-30,LAZOR Annie,United States of America,Swimming
Gold Medal,2021-07-30,MA Long,People's Republic of China,Table Tennis
Silver Medal,2021-07-30,FAN Zhendong,People's Republic of China,Table Tennis
Bronze Medal,2021-07-30,OVTCHAROV Dimitrij,Germany,Table Tennis
Gold Medal,2021-07-30,MEKTIC Nikola,Croatia,Tennis
Gold Medal,2021-07-30,PAVIC Mate,Croatia,Tennis
Silver Medal,2021-07-30,CILIC Marin,Croatia,Tennis
Silver Medal,2021-07-30,DODIG Ivan,Croatia,Tennis
Bronze Medal,2021-07-30,DANIELL Marcus,New Zealand,Tennis
Bronze Medal,2021-07-30,VENUS Michael,New Zealand,Tennis
Gold Medal,2021-07-30,ZHU Xueying,People's Republic of China,Trampoline Gymnastics
Silver Medal,2021-07-30,LIU Lingling,People's Republic of China,Trampoline Gymnastics
Bronze Medal,2021-07-30,PAGE Bryony,Great Britain,Trampoline Gymnastics
Gold Medal,2021-07-31,GAZOZ Mete,Turkey,Archery
Silver Medal,2021-07-31,NESPOLI Mauro,Italy,Archery
Bronze Medal,2021-07-31,FURUKAWA Takaharu,Japan,Archery
Gold Medal,2021-07-31,HOLUB-KOWALIK Malgorzata,Poland,Athletics
Gold Medal,2021-07-31,KACZMAREK Natalia,Poland,Athletics
Gold Medal,2021-07-31,BAUMGART-WITAN Iga,Poland,Athletics
Gold Medal,2021-07-31,SWIETY-ERSETIC Justyna,Poland,Athletics
Gold Medal,2021-07-31,DUSZYNSKI Kajetan,Poland,Athletics
Gold Medal,2021-07-31,ZALEWSKI Karol,Poland,Athletics
Gold Medal,2021-07-31,KOWALUK Dariusz,Poland,Athletics
Silver Medal,2021-07-31,OGANDO Alexander,Dominican Republic,Athletics
Silver Medal,2021-07-31,SANTOS Luguelin,Dominican Republic,Athletics
Silver Medal,2021-07-31,FELIZ Lidio Andres,Dominican Republic,Athletics
Silver Medal,2021-07-31,PAULINO Marileidy,Dominican Republic,Athletics
Silver Medal,2021-07-31,MEDINA VENTURA Anabel,Dominican Republic,Athletics
Bronze Medal,2021-07-31,GODWIN Elija,United States of America,Athletics
Bronze Medal,2021-07-31,DEADMON Bryce,United States of America,Athletics
Bronze Medal,2021-07-31,ELLIS Kendall,United States of America,Athletics
Bronze Medal,2021-07-31,WHITNEY Kaylin,United States of America,Athletics
Bronze Medal,2021-07-31,STEWART Trevor,United States of America,Athletics
Bronze Medal,2021-07-31,MANSON Taylor,United States of America,Athletics
Bronze Medal,2021-07-31,IRBY Lynna,United States of America,Athletics
Bronze Medal,2021-07-31,NORWOOD Vernon,United States of America,Athletics
Gold Medal,2021-07-31,STAHL Daniel,Sweden,Athletics
Silver Medal,2021-07-31,PETTERSSON Simon,Sweden,Athletics
Bronze Medal,2021-07-31,WEISSHAIDINGER Lukas,Austria,Athletics
Gold Medal,2021-07-31,THOMPSON-HERAH Elaine,Jamaica,Athletics
Silver Medal,2021-07-31,FRASER-PRYCE Shelly-Ann,Jamaica,Athletics
Bronze Medal,2021-07-31,JACKSON Shericka,Jamaica,Athletics
Gold Medal,2021-07-31,WANG Chi-Lin,Chinese Taipei,Badminton
Gold Medal,2021-07-31,LEE Yang,Chinese Taipei,Badminton
Silver Medal,2021-07-31,LI Jun Hui,People's Republic of China,Badminton
Silver Medal,2021-07-31,LIU Yu Chen,People's Republic of China,Badminton
Bronze Medal,2021-07-31,CHIA Aaron,Malaysia,Badminton
Bronze Medal,2021-07-31,SOH Wooi Yik,Malaysia,Badminton
Bronze Medal,2021-07-31,TESTA Irma,Italy,Boxing
Bronze Medal,2021-07-31,ARTINGSTALL Karriss,Great Britain,Boxing
Gold Medal,2021-07-31,POZDNIAKOVA Sofia,ROC,Fencing
Gold Medal,2021-07-31,NIKITINA Olga,ROC,Fencing
Gold Medal,2021-07-31,VELIKAYA Sofya,ROC,Fencing
Silver Medal,2021-07-31,BALZER Sara,France,Fencing
Silver Medal,2021-07-31,BERDER Cecilia,France,Fencing
Silver Medal,2021-07-31,BRUNET Manon,France,Fencing
Silver Medal,2021-07-31,LEMBACH Charlotte,France,Fencing
Bronze Medal,2021-07-31,KIM Jiyeon,Republic of Korea,Fencing
Bronze Medal,2021-07-31,YOON Jisu,Republic of Korea,Fencing
Bronze Medal,2021-07-31,SEO Jiyeon,Republic of Korea,Fencing
Bronze Medal,2021-07-31,CHOI Sooyeon,Republic of Korea,Fencing
Gold Medal,2021-07-31,BUCHARD Amandine,France,Judo
Gold Medal,2021-07-31,RINER Teddy,France,Judo
Gold Medal,2021-07-31,le BLOUCH Kilian,France,Judo
Gold Medal,2021-07-31,CHAINE Guillaume,France,Judo
Gold Medal,2021-07-31,CLERGET Axel,France,Judo
Gold Medal,2021-07-31,IDDIR Alexandre,France,Judo
Gold Medal,2021-07-31,DICKO Romane,France,Judo
Gold Medal,2021-07-31,MALONGA Madeleine,France,Judo
Gold Medal,2021-07-31,AGBEGNENOU Clarisse,France,Judo
Gold Medal,2021-07-31,PINOT Margaux,France,Judo
Gold Medal,2021-07-31,CYSIQUE Sarah Leonie,France,Judo
Silver Medal,2021-07-31,ABE Uta,Japan,Judo
Silver Medal,2021-07-31,ARAI Chizuru,Japan,Judo
Silver Medal,2021-07-31,YOSHIDA Tsukasa,Japan,Judo
Silver Medal,2021-07-31,TASHIRO Miku,Japan,Judo
Silver Medal,2021-07-31,SONE Akira,Japan,Judo
Silver Medal,2021-07-31,HARASAWA Hisayoshi,Japan,Judo
Silver Medal,2021-07-31,HAMADA Shori,Japan,Judo
Silver Medal,2021-07-31,NAGASE Takanori,Japan,Judo
Silver Medal,2021-07-31,WOLF Aaron,Japan,Judo
Silver Medal,2021-07-31,MUKAI Shoichiro,Japan,Judo
Silver Medal,2021-07-31,ONO Shohei,Japan,Judo
Silver Medal,2021-07-31,ABE Hifumi,Japan,Judo
Bronze Medal,2021-07-31,MUKI Sagi,Israel,Judo
Bronze Medal,2021-07-31,BUTBUL Tohar,Israel,Judo
Bronze Medal,2021-07-31,SASSON Or,Israel,Judo
Bronze Medal,2021-07-31,KOCHMAN Li,Israel,Judo
Bronze Medal,2021-07-31,SHMAILOV Baruch,Israel,Judo
Bronze Medal,2021-07-31,PALTCHIK Peter,Israel,Judo
Bronze Medal,2021-07-31,LANIR Inbar,Israel,Judo
Bronze Medal,2021-07-31,SHARIR Gili,Israel,Judo
Bronze Medal,2021-07-31,HERSHKO Raz,Israel,Judo
Bronze Medal,2021-07-31,NELSON LEVY Timna,Israel,Judo
Bronze Medal,2021-07-31,RISHONY Shira,Israel,Judo
Bronze Medal,2021-07-31,WAGNER Anna-Maria,Germany,Judo
Bronze Medal,2021-07-31,MENZ Katharina,Germany,Judo
Bronze Medal,2021-07-31,SCOCCIMARRO Giovanna,Germany,Judo
Bronze Medal,2021-07-31,FREY Karl-Richard,Germany,Judo
Bronze Medal,2021-07-31,RESSEL Dominic,Germany,Judo
Bronze Medal,2021-07-31,SEIDL Sebastian,Germany,Judo
Bronze Medal,2021-07-31,WANDTKE Igor,Germany,Judo
Bronze Medal,2021-07-31,FREY Johannes,Germany,Judo
Bronze Medal,2021-07-31,TRIPPEL Eduard,Germany,Judo
Bronze Medal,2021-07-31,TRAJDOS Martyna,Germany,Judo
Bronze Medal,2021-07-31,STOLL Theresa,Germany,Judo
Bronze Medal,2021-07-31,GRABOWSKI Jasmin,Germany,Judo
Gold Medal,2021-07-31,BLYDE Michaela,New Zealand,Rugby Sevens
Gold Medal,2021-07-31,BROUGHTON Gayle,New Zealand,Rugby Sevens
Gold Medal,2021-07-31,POURI-LANE Risi,New Zealand,Rugby Sevens
Gold Medal,2021-07-31,SAILI Alena,New Zealand,Rugby Sevens
Gold Medal,2021-07-31,KAKA Shiray,New Zealand,Rugby Sevens
Gold Medal,2021-07-31,TUI Ruby,New Zealand,Rugby Sevens
Gold Medal,2021-07-31,FLUHLER Stacey,New Zealand,Rugby Sevens
Gold Medal,2021-07-31,WILLISON Tenika,New Zealand,Rugby Sevens
Gold Medal,2021-07-31,WOODMAN Portia,New Zealand,Rugby Sevens
Gold Medal,2021-07-31,NATHAN-WONG Tyla,New Zealand,Rugby Sevens
